model,op_id,phase,layer,module,op_kind,batch_dims,M,N,K,deps,weight,weight_shape,provenance,notes
models--Systran--faster-whisper-base,1,prefill,frontend,encoder.conv1,conv1d_im2col_equivalent,,B*T_audio,512,240,,encoder.conv1.weight,"[512,80,3]",variant+standard_whisper,"kernel=3,stride=1,padding=1"
models--Systran--faster-whisper-base,2,prefill,frontend,encoder.conv2,conv1d_im2col_equivalent,,B*T_enc,512,1536,1,encoder.conv2.weight,"[512,512,3]",variant+standard_whisper,"kernel=3,stride=2,padding=1; T_enc=ceil(T_audio/2)"
models--Systran--faster-whisper-base,3,prefill,0,encoder.layers.0.self_attn.q_proj,linear,,B*T_enc,512,512,2,encoder.layers.0.self_attn.q_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,4,prefill,0,encoder.layers.0.self_attn.k_proj,linear,,B*T_enc,512,512,2,encoder.layers.0.self_attn.k_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,5,prefill,0,encoder.layers.0.self_attn.v_proj,linear,,B*T_enc,512,512,2,encoder.layers.0.self_attn.v_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,6,prefill,0,encoder.layers.0.self_attn.qk,batched_matmul,B*heads,T_enc,T_enc,64,3;4,,,config+architecture,
models--Systran--faster-whisper-base,7,prefill,0,encoder.layers.0.self_attn.pv,batched_matmul,B*heads,T_enc,64,T_enc,6;5,,,config+architecture,
models--Systran--faster-whisper-base,8,prefill,0,encoder.layers.0.self_attn.out_proj,linear,,B*T_enc,512,512,7,encoder.layers.0.self_attn.out_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,9,prefill,0,encoder.layers.0.fc1,linear,,B*T_enc,2048,512,8,encoder.layers.0.fc1.weight,"[2048,512]",config+architecture,
models--Systran--faster-whisper-base,10,prefill,0,encoder.layers.0.fc2,linear,,B*T_enc,512,2048,9,encoder.layers.0.fc2.weight,"[512,2048]",config+architecture,
models--Systran--faster-whisper-base,11,prefill,1,encoder.layers.1.self_attn.q_proj,linear,,B*T_enc,512,512,10,encoder.layers.1.self_attn.q_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,12,prefill,1,encoder.layers.1.self_attn.k_proj,linear,,B*T_enc,512,512,10,encoder.layers.1.self_attn.k_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,13,prefill,1,encoder.layers.1.self_attn.v_proj,linear,,B*T_enc,512,512,10,encoder.layers.1.self_attn.v_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,14,prefill,1,encoder.layers.1.self_attn.qk,batched_matmul,B*heads,T_enc,T_enc,64,11;12,,,config+architecture,
models--Systran--faster-whisper-base,15,prefill,1,encoder.layers.1.self_attn.pv,batched_matmul,B*heads,T_enc,64,T_enc,14;13,,,config+architecture,
models--Systran--faster-whisper-base,16,prefill,1,encoder.layers.1.self_attn.out_proj,linear,,B*T_enc,512,512,15,encoder.layers.1.self_attn.out_proj.weight,"[512,512]",config+architecture,
