model,op_id,phase,layer,module,op_kind,batch_dims,M,N,K,deps,weight,weight_shape,provenance,notes
models--Systran--faster-whisper-base,149,decode,1,decoder.layers.1.self_attn.k_proj,linear,,B,512,512,147,decoder.layers.1.self_attn.k_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,150,decode,1,decoder.layers.1.self_attn.v_proj,linear,,B,512,512,147,decoder.layers.1.self_attn.v_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,151,decode,1,decoder.layers.1.self_attn.qk,batched_matmul,B*heads,1,KV_dec,64,148;149,,,config+architecture,decode uses existing self-attention KV cache
models--Systran--faster-whisper-base,152,decode,1,decoder.layers.1.self_attn.pv,batched_matmul,B*heads,1,64,KV_dec,151;150,,,config+architecture,
models--Systran--faster-whisper-base,153,decode,1,decoder.layers.1.self_attn.out_proj,linear,,B,512,512,152,decoder.layers.1.self_attn.out_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,154,decode,1,decoder.layers.1.encoder_attn.q_proj,linear,,B,512,512,153,decoder.layers.1.encoder_attn.q_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,155,decode,1,decoder.layers.1.encoder_attn.qk,batched_matmul,B*heads,1,T_enc,64,154,,,config+architecture,cross-attention K is cached during decode step
models--Systran--faster-whisper-base,156,decode,1,decoder.layers.1.encoder_attn.pv,batched_matmul,B*heads,1,64,T_enc,155,,,config+architecture,cross-attention V is cached during decode step
models--Systran--faster-whisper-base,157,decode,1,decoder.layers.1.encoder_attn.out_proj,linear,,B,512,512,156,decoder.layers.1.encoder_attn.out_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,158,decode,1,decoder.layers.1.fc1,linear,,B,2048,512,157,decoder.layers.1.fc1.weight,"[2048,512]",config+architecture,
models--Systran--faster-whisper-base,159,decode,1,decoder.layers.1.fc2,linear,,B,512,2048,158,decoder.layers.1.fc2.weight,"[512,2048]",config+architecture,
models--Systran--faster-whisper-base,160,decode,2,decoder.layers.2.self_attn.q_proj,linear,,B,512,512,159,decoder.layers.2.self_attn.q_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,161,decode,2,decoder.layers.2.self_attn.k_proj,linear,,B,512,512,159,decoder.layers.2.self_attn.k_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,162,decode,2,decoder.layers.2.self_attn.v_proj,linear,,B,512,512,159,decoder.layers.2.self_attn.v_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,163,decode,2,decoder.layers.2.self_attn.qk,batched_matmul,B*heads,1,KV_dec,64,160;161,,,config+architecture,decode uses existing self-attention KV cache
models--Systran--faster-whisper-base,164,decode,2,decoder.layers.2.self_attn.pv,batched_matmul,B*heads,1,64,KV_dec,163;162,,,config+architecture,
models--Systran--faster-whisper-base,165,decode,2,decoder.layers.2.self_attn.out_proj,linear,,B,512,512,164,decoder.layers.2.self_attn.out_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,166,decode,2,decoder.layers.2.encoder_attn.q_proj,linear,,B,512,512,165,decoder.layers.2.encoder_attn.q_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,167,decode,2,decoder.layers.2.encoder_attn.qk,batched_matmul,B*heads,1,T_enc,64,166,,,config+architecture,cross-attention K is cached during decode step
models--Systran--faster-whisper-base,168,decode,2,decoder.layers.2.encoder_attn.pv,batched_matmul,B*heads,1,64,T_enc,167,,,config+architecture,cross-attention V is cached during decode step
models--Systran--faster-whisper-base,169,decode,2,decoder.layers.2.encoder_attn.out_proj,linear,,B,512,512,168,decoder.layers.2.encoder_attn.out_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,170,decode,2,decoder.layers.2.fc1,linear,,B,2048,512,169,decoder.layers.2.fc1.weight,"[2048,512]",config+architecture,
models--Systran--faster-whisper-base,171,decode,2,decoder.layers.2.fc2,linear,,B,512,2048,170,decoder.layers.2.fc2.weight,"[512,2048]",config+architecture,
models--Systran--faster-whisper-base,172,decode,3,decoder.layers.3.self_attn.q_proj,linear,,B,512,512,171,decoder.layers.3.self_attn.q_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,173,decode,3,decoder.layers.3.self_attn.k_proj,linear,,B,512,512,171,decoder.layers.3.self_attn.k_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,174,decode,3,decoder.layers.3.self_attn.v_proj,linear,,B,512,512,171,decoder.layers.3.self_attn.v_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,175,decode,3,decoder.layers.3.self_attn.qk,batched_matmul,B*heads,1,KV_dec,64,172;173,,,config+architecture,decode uses existing self-attention KV cache
