model,op_id,phase,layer,module,op_kind,batch_dims,M,N,K,deps,weight,weight_shape,provenance,notes
models--funasr--campplus,156,speaker_encode,block2.24,xvector.block2.tdnnd24.cam_layer.linear_local,conv1d_im2col_equivalent,,B*T_tdnn,32,384,155,xvector.block2.tdnnd24.cam_layer.linear_local.weight,"[32, 128, 3]",checkpoint_shape+official_CAMPPlus_forward,dilation=2; CAM local branch
models--funasr--campplus,157,speaker_encode,block2.24,xvector.block2.tdnnd24.cam_layer.linear1,conv1d_im2col_equivalent,,B*T_tdnn,64,128,155,xvector.block2.tdnnd24.cam_layer.linear1.weight,"[64, 128, 1]",checkpoint_shape+official_CAMPPlus_forward,dilation=1; CAM pooled-context branch
models--funasr--campplus,158,speaker_encode,block2.24,xvector.block2.tdnnd24.cam_layer.linear2,conv1d_im2col_equivalent,,B*T_tdnn,32,64,157,xvector.block2.tdnnd24.cam_layer.linear2.weight,"[32, 64, 1]",checkpoint_shape+official_CAMPPlus_forward,dilation=1; CAM gate projection
models--funasr--campplus,159,speaker_encode,transit2,xvector.transit2.linear,conv1d_im2col_equivalent,,B*T_tdnn,512,1024,156;158,xvector.transit2.linear.weight,"[512, 1024, 1]",checkpoint_shape+official_CAMPPlus_forward,dilation=1; 1x1 channel compression
models--funasr--campplus,160,speaker_encode,block3.1,xvector.block3.tdnnd1.linear1,conv1d_im2col_equivalent,,B*T_tdnn,128,512,159,xvector.block3.tdnnd1.linear1.weight,"[128, 512, 1]",checkpoint_shape+official_CAMPPlus_forward,dilation=1
models--funasr--campplus,161,speaker_encode,block3.1,xvector.block3.tdnnd1.cam_layer.linear_local,conv1d_im2col_equivalent,,B*T_tdnn,32,384,160,xvector.block3.tdnnd1.cam_layer.linear_local.weight,"[32, 128, 3]",checkpoint_shape+official_CAMPPlus_forward,dilation=2; CAM local branch
models--funasr--campplus,162,speaker_encode,block3.1,xvector.block3.tdnnd1.cam_layer.linear1,conv1d_im2col_equivalent,,B*T_tdnn,64,128,160,xvector.block3.tdnnd1.cam_layer.linear1.weight,"[64, 128, 1]",checkpoint_shape+official_CAMPPlus_forward,dilation=1; CAM pooled-context branch
models--funasr--campplus,163,speaker_encode,block3.1,xvector.block3.tdnnd1.cam_layer.linear2,conv1d_im2col_equivalent,,B*T_tdnn,32,64,162,xvector.block3.tdnnd1.cam_layer.linear2.weight,"[32, 64, 1]",checkpoint_shape+official_CAMPPlus_forward,dilation=1; CAM gate projection
models--funasr--campplus,164,speaker_encode,block3.2,xvector.block3.tdnnd2.linear1,conv1d_im2col_equivalent,,B*T_tdnn,128,544,161;163,xvector.block3.tdnnd2.linear1.weight,"[128, 544, 1]",checkpoint_shape+official_CAMPPlus_forward,dilation=1
models--funasr--campplus,165,speaker_encode,block3.2,xvector.block3.tdnnd2.cam_layer.linear_local,conv1d_im2col_equivalent,,B*T_tdnn,32,384,164,xvector.block3.tdnnd2.cam_layer.linear_local.weight,"[32, 128, 3]",checkpoint_shape+official_CAMPPlus_forward,dilation=2; CAM local branch
models--funasr--campplus,166,speaker_encode,block3.2,xvector.block3.tdnnd2.cam_layer.linear1,conv1d_im2col_equivalent,,B*T_tdnn,64,128,164,xvector.block3.tdnnd2.cam_layer.linear1.weight,"[64, 128, 1]",checkpoint_shape+official_CAMPPlus_forward,dilation=1; CAM pooled-context branch
models--funasr--campplus,167,speaker_encode,block3.2,xvector.block3.tdnnd2.cam_layer.linear2,conv1d_im2col_equivalent,,B*T_tdnn,32,64,166,xvector.block3.tdnnd2.cam_layer.linear2.weight,"[32, 64, 1]",checkpoint_shape+official_CAMPPlus_forward,dilation=1; CAM gate projection
models--funasr--campplus,168,speaker_encode,block3.3,xvector.block3.tdnnd3.linear1,conv1d_im2col_equivalent,,B*T_tdnn,128,576,165;167,xvector.block3.tdnnd3.linear1.weight,"[128, 576, 1]",checkpoint_shape+official_CAMPPlus_forward,dilation=1
models--funasr--campplus,169,speaker_encode,block3.3,xvector.block3.tdnnd3.cam_layer.linear_local,conv1d_im2col_equivalent,,B*T_tdnn,32,384,168,xvector.block3.tdnnd3.cam_layer.linear_local.weight,"[32, 128, 3]",checkpoint_shape+official_CAMPPlus_forward,dilation=2; CAM local branch
models--funasr--campplus,170,speaker_encode,block3.3,xvector.block3.tdnnd3.cam_layer.linear1,conv1d_im2col_equivalent,,B*T_tdnn,64,128,168,xvector.block3.tdnnd3.cam_layer.linear1.weight,"[64, 128, 1]",checkpoint_shape+official_CAMPPlus_forward,dilation=1; CAM pooled-context branch
models--funasr--campplus,171,speaker_encode,block3.3,xvector.block3.tdnnd3.cam_layer.linear2,conv1d_im2col_equivalent,,B*T_tdnn,32,64,170,xvector.block3.tdnnd3.cam_layer.linear2.weight,"[32, 64, 1]",checkpoint_shape+official_CAMPPlus_forward,dilation=1; CAM gate projection
models--funasr--campplus,172,speaker_encode,block3.4,xvector.block3.tdnnd4.linear1,conv1d_im2col_equivalent,,B*T_tdnn,128,608,169;171,xvector.block3.tdnnd4.linear1.weight,"[128, 608, 1]",checkpoint_shape+official_CAMPPlus_forward,dilation=1
models--funasr--campplus,173,speaker_encode,block3.4,xvector.block3.tdnnd4.cam_layer.linear_local,conv1d_im2col_equivalent,,B*T_tdnn,32,384,172,xvector.block3.tdnnd4.cam_layer.linear_local.weight,"[32, 128, 3]",checkpoint_shape+official_CAMPPlus_forward,dilation=2; CAM local branch
models--funasr--campplus,174,speaker_encode,block3.4,xvector.block3.tdnnd4.cam_layer.linear1,conv1d_im2col_equivalent,,B*T_tdnn,64,128,172,xvector.block3.tdnnd4.cam_layer.linear1.weight,"[64, 128, 1]",checkpoint_shape+official_CAMPPlus_forward,dilation=1; CAM pooled-context branch
models--funasr--campplus,175,speaker_encode,block3.4,xvector.block3.tdnnd4.cam_layer.linear2,conv1d_im2col_equivalent,,B*T_tdnn,32,64,174,xvector.block3.tdnnd4.cam_layer.linear2.weight,"[32, 64, 1]",checkpoint_shape+official_CAMPPlus_forward,dilation=1; CAM gate projection
